Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753910801,100,POST,/put,8.100000,0.000000,42,47,48,53,62,90,110,130,130,130,130,118,0,31,37.99631791535846,21.71207599894842,134.31985100032762,0.0
1753910801,100,,Aggregated,932.700000,0.000000,23,27,30,32,36,45,86,94,160,180,180,14648,0,20,21.90714697708856,5.704978997528087,177.60040100256447,50.12302020753687
1753910802,100,GET,/get,1453.400000,0.000000,28,32,35,36,40,47,83,92,120,180,180,20199,0,25,25.73120303639061,5.704978997528087,177.60040100256447,51.556364176444376
1753910802,100,POST,/put,11.800000,0.000000,52,55,57,59,62,68,110,110,130,130,130,189,0,47,44.722642772684736,21.71207599894842,134.31985100032762,0.0
1753910802,100,,Aggregated,1465.200000,0.000000,28,32,35,36,40,48,83,92,120,180,180,20388,0,25,25.907256700808873,5.704978997528087,177.60040100256447,51.0784284873455
1753910803,100,GET,/get,1453.400000,0.000000,28,32,35,36,40,47,83,92,120,180,180,20199,0,25,25.73120303639061,5.704978997528087,177.60040100256447,51.556364176444376
1753910803,100,POST,/put,11.800000,0.000000,52,55,57,59,62,68,110,110,130,130,130,189,0,47,44.722642772684736,21.71207599894842,134.31985100032762,0.0
1753910803,100,,Aggregated,1465.200000,0.000000,28,32,35,36,40,48,83,92,120,180,180,20388,0,25,25.907256700808873,5.704978997528087,177.60040100256447,51.0784284873455
1753910804,100,GET,/get,1453.400000,0.000000,32,35,37,38,42,49,87,94,100,100,110,20199,0,25,25.73120303639061,5.704978997528087,177.60040100256447,51.556364176444376
1753910804,100,POST,/put,11.800000,0.000000,54,56,59,60,64,68,90,110,110,110,110,189,0,47,44.722642772684736,21.71207599894842,134.31985100032762,0.0
1753910804,100,,Aggregated,1465.200000,0.000000,32,35,37,38,42,51,87,94,100,110,110,20388,0,25,25.907256700808873,5.704978997528087,177.60040100256447,51.0784284873455
1753910805,100,GET,/get,1807.800000,0.000000,33,35,37,38,41,46,58,90,100,100,110,26084,0,28,27.664122301603065,5.704978997528087,177.60040100256447,52.359914123600674
